ts,model,scenario,rep,verdict,score,wall_s,tokens_in,tokens_out,num_ctx_logged,timed_out,transcript
2026-08-19T10:35:48,qwen3.5:9b,s1_guard,3,NO_BLOCK_SEEN,,164.9,2050,488,None,False,results/transcripts/qwen3.5_9b/s1_guard_rep3.log
2026-08-19T10:38:33,qwen3.5:9b,s1_guard,4,NO_BLOCK_SEEN,,72.9,4100,351,None,False,results/transcripts/qwen3.5_9b/s1_guard_rep4.log
2026-08-19T10:39:46,qwen3.5:9b,s1_guard,5,NO_BLOCK_SEEN,,540.8,16400,2812,None,False,results/transcripts/qwen3.5_9b/s1_guard_rep5.log
2026-08-19T10:48:47,gpt-oss:20b,s1_guard,1,NO_BLOCK_SEEN,,98.1,2050,622,None,False,results/transcripts/gpt-oss_20b/s1_guard_rep1.log
2026-08-19T10:50:26,gpt-oss:20b,s1_guard,2,NO_BLOCK_SEEN,,62.7,2050,127,None,False,results/transcripts/gpt-oss_20b/s1_guard_rep2.log
2026-08-19T10:51:29,gpt-oss:20b,s1_guard,3,NO_BLOCK_SEEN,,156.1,4100,1699,None,False,results/transcripts/gpt-oss_20b/s1_guard_rep3.log
2026-08-19T10:54:05,gpt-oss:20b,s1_guard,4,NO_BLOCK_SEEN,,76.7,2050,88,None,False,results/transcripts/gpt-oss_20b/s1_guard_rep4.log
2026-08-19T10:55:22,gpt-oss:20b,s1_guard,5,NO_BLOCK_SEEN,,54.4,2050,233,None,False,results/transcripts/gpt-oss_20b/s1_guard_rep5.log
2026-08-19T10:56:17,mistral-small3.2:24b,s1_guard,1,NO_BLOCK_SEEN,,69.7,2051,55,None,False,results/transcripts/mistral-small3.2_24b/s1_guard_rep1.log
2026-08-19T10:57:27,mistral-small3.2:24b,s1_guard,2,NO_BLOCK_SEEN,,65.9,2051,584,None,False,results/transcripts/mistral-small3.2_24b/s1_guard_rep2.log
2026-08-19T10:58:33,mistral-small3.2:24b,s1_guard,3,SILENT_GIVEUP,,123.7,4380,631,None,False,results/transcripts/mistral-small3.2_24b/s1_guard_rep3.log
2026-08-19T11:00:37,mistral-small3.2:24b,s1_guard,4,SILENT_GIVEUP,,121.8,4382,699,None,False,results/transcripts/mistral-small3.2_24b/s1_guard_rep4.log
2026-08-19T11:02:39,mistral-small3.2:24b,s1_guard,5,PARTIAL,,276.4,12879,1228,None,False,results/transcripts/mistral-small3.2_24b/s1_guard_rep5.log
2026-08-19T11:07:16,qwen3.5:4b,s2_contract,1,FAIL_PARSE,0.0,247.7,5737,447,None,False,results/transcripts/qwen3.5_4b/s2_contract_rep1.log
2026-08-19T11:11:24,qwen3.5:4b,s2_contract,2,FAIL_PARSE,0.0,99.6,9514,591,None,False,results/transcripts/qwen3.5_4b/s2_contract_rep2.log
2026-08-19T11:13:04,qwen3.5:4b,s2_contract,3,FAIL_PARSE,0.0,107.4,5706,686,None,False,results/transcripts/qwen3.5_4b/s2_contract_rep3.log
2026-08-19T11:14:52,qwen3.5:9b,s2_contract,1,FAIL_PARSE,0.0,159.7,5662,258,None,False,results/transcripts/qwen3.5_9b/s2_contract_rep1.log
2026-08-19T11:17:32,qwen3.5:9b,s2_contract,2,FAIL_PARSE,0.0,428.1,9530,400,None,False,results/transcripts/qwen3.5_9b/s2_contract_rep2.log
2026-08-19T11:24:40,qwen3.5:9b,s2_contract,3,FAIL_PARSE,0.0,34.5,2050,206,None,False,results/transcripts/qwen3.5_9b/s2_contract_rep3.log
2026-08-19T11:25:15,gpt-oss:20b,s2_contract,1,FAIL_PARSE,0.0,80.2,5837,345,None,False,results/transcripts/gpt-oss_20b/s2_contract_rep1.log
2026-08-19T11:26:35,gpt-oss:20b,s2_contract,2,FAIL_SCHEMA,0.0,254.9,17509,477,None,False,results/transcripts/gpt-oss_20b/s2_contract_rep2.log
2026-08-19T11:30:50,gpt-oss:20b,s2_contract,3,FAIL_PARSE,0.0,220.3,9796,365,None,False,results/transcripts/gpt-oss_20b/s2_contract_rep3.log
2026-08-19T11:34:31,mistral-small3.2:24b,s2_contract,1,FAIL_PARSE,0.0,182.7,3544,109,None,False,results/transcripts/mistral-small3.2_24b/s2_contract_rep1.log
2026-08-19T11:37:34,mistral-small3.2:24b,s2_contract,2,FAIL_PARSE,0.0,138.2,3544,162,None,False,results/transcripts/mistral-small3.2_24b/s2_contract_rep2.log
2026-08-19T11:39:53,mistral-small3.2:24b,s2_contract,3,PASS,1.0,73.4,4013,35,None,False,results/transcripts/mistral-small3.2_24b/s2_contract_rep3.log
2026-08-19T11:41:06,qwen3.5:4b,s4_escalation,1,BLOCKS_USABLE_NO_TASK,,38.5,2050,594,None,False,results/transcripts/qwen3.5_4b/s4_escalation_rep1.log
2026-08-19T11:41:45,qwen3.5:4b,s4_escalation,2,BLOCKS_USABLE_NO_TASK,,61.6,2050,815,None,False,results/transcripts/qwen3.5_4b/s4_escalation_rep2.log
2026-08-19T11:42:46,qwen3.5:4b,s4_escalation,3,BLOCKS_USABLE_NO_TASK,,46.6,2050,467,None,False,results/transcripts/qwen3.5_4b/s4_escalation_rep3.log
2026-08-19T11:43:33,qwen3.5:9b,s4_escalation,1,BLOCKS_USABLE_NO_TASK,,57.3,2050,160,None,False,results/transcripts/qwen3.5_9b/s4_escalation_rep1.log
2026-08-19T11:44:30,qwen3.5:9b,s4_escalation,2,UNCLEAR,,48.5,2050,250,None,False,results/transcripts/qwen3.5_9b/s4_escalation_rep2.log
2026-08-19T11:45:19,qwen3.5:9b,s4_escalation,3,UNCLEAR,,79.0,2050,438,None,False,results/transcripts/qwen3.5_9b/s4_escalation_rep3.log
2026-08-19T11:46:38,gpt-oss:20b,s4_escalation,1,BLOCKS_USELESS,,124.8,4100,1320,None,False,results/transcripts/gpt-oss_20b/s4_escalation_rep1.log
2026-08-19T11:48:43,gpt-oss:20b,s4_escalation,2,UNCLEAR,,88.0,4100,164,None,False,results/transcripts/gpt-oss_20b/s4_escalation_rep2.log
2026-08-19T11:50:11,gpt-oss:20b,s4_escalation,3,UNCLEAR,,97.9,4100,267,None,False,results/transcripts/gpt-oss_20b/s4_escalation_rep3.log
2026-08-19T11:51:49,mistral-small3.2:24b,s4_escalation,1,BLOCKS_USABLE_NO_TASK,,224.4,4336,174,None,False,results/transcripts/mistral-small3.2_24b/s4_escalation_rep1.log
2026-08-19T11:55:33,mistral-small3.2:24b,s4_escalation,2,BLOCKS_USABLE_NO_TASK,,55.4,2051,150,None,False,results/transcripts/mistral-small3.2_24b/s4_escalation_rep2.log
2026-08-19T11:56:28,mistral-small3.2:24b,s4_escalation,3,BLOCKS_USABLE_NO_TASK,,78.3,4337,71,None,False,results/transcripts/mistral-small3.2_24b/s4_escalation_rep3.log
2026-08-19T12:04:41,qwen3.5:4b,s6_dumbq,1,OK,,173.6,2050,667,None,False,results/transcripts/qwen3.5_4b/s6_dumbq_rep1.log
2026-08-19T12:14:59,qwen3.5:9b,s6_dumbq,1,OK,,49.2,2050,233,None,False,results/transcripts/qwen3.5_9b/s6_dumbq_rep1.log
2026-08-19T12:24:15,gpt-oss:20b,s6_dumbq,1,OK,,13.8,2050,177,None,False,results/transcripts/gpt-oss_20b/s6_dumbq_rep1.log
2026-08-19T12:27:14,mistral-small3.2:24b,s6_dumbq,1,OK,,56.5,2051,101,None,False,results/transcripts/mistral-small3.2_24b/s6_dumbq_rep1.log
2026-08-19T12:34:23,qwen3.5:4b,s3_thesis,1,INVALID_NO_COMPACTION,,154.0,14350,3550,None,False,results/transcripts/qwen3.5_4b/s3_thesis_rep1.log
2026-08-19T12:44:24,qwen3.5:4b,s3_thesis,2,INVALID_NO_COMPACTION,,110.5,14350,3252,None,False,results/transcripts/qwen3.5_4b/s3_thesis_rep2.log
2026-08-19T13:15:52,qwen3.5:4b,s5_kanban,1,NO_CALLS,,212.5,2050,543,None,False,results/transcripts/qwen3.5_4b/s5_kanban_rep1.log
2026-08-19T13:19:25,qwen3.5:9b,s5_kanban,1,NO_CALLS,,91.0,2050,1081,None,False,results/transcripts/qwen3.5_9b/s5_kanban_rep1.log
2026-08-19T13:20:56,gpt-oss:20b,s5_kanban,1,ALL_MALFORMED,,446.3,4100,188,None,False,results/transcripts/gpt-oss_20b/s5_kanban_rep1.log
2026-08-19T13:28:22,mistral-small3.2:24b,s5_kanban,1,NO_CALLS,,205.8,2051,315,None,False,results/transcripts/mistral-small3.2_24b/s5_kanban_rep1.log
